match_no,inning,ball,non_striker,batsman,bowler,runs_extra,runs_batsman,runs_total,extras,player_out,elimination_kind,fielders_caught,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
MI vs RCB 2021-04-09,1st innings,0.1,CA Lynn,RG Sharma,Mohammed Siraj,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.2,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.3,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.4,CA Lynn,RG Sharma,Mohammed Siraj,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.5,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,0.6,CA Lynn,RG Sharma,Mohammed Siraj,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.1,CA Lynn,RG Sharma,KA Jamieson,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.2,RG Sharma,CA Lynn,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.3,RG Sharma,CA Lynn,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.4,RG Sharma,CA Lynn,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.5,RG Sharma,CA Lynn,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,1.6,RG Sharma,CA Lynn,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,2.1,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,2.2,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,2.3,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,2.4,CA Lynn,RG Sharma,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,2.5,CA Lynn,RG Sharma,Mohammed Siraj,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,2.6,CA Lynn,RG Sharma,Mohammed Siraj,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,3.1,RG Sharma,CA Lynn,YS Chahal,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,3.2,RG Sharma,CA Lynn,YS Chahal,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,3.3,RG Sharma,CA Lynn,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,3.4,CA Lynn,RG Sharma,YS Chahal,0,6,6,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,3.5,CA Lynn,RG Sharma,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,3.6,RG Sharma,CA Lynn,YS Chahal,0,0,0,,RG Sharma,run out,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,4.1,CA Lynn,SA Yadav,KA Jamieson,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,4.2,CA Lynn,SA Yadav,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,4.3,CA Lynn,SA Yadav,KA Jamieson,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,4.4,SA Yadav,CA Lynn,KA Jamieson,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,4.5,CA Lynn,SA Yadav,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,4.6,CA Lynn,SA Yadav,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,5.1,SA Yadav,CA Lynn,YS Chahal,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,5.2,SA Yadav,CA Lynn,YS Chahal,0,6,6,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,5.3,SA Yadav,CA Lynn,YS Chahal,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,5.4,SA Yadav,CA Lynn,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,5.5,CA Lynn,SA Yadav,YS Chahal,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,5.6,CA Lynn,SA Yadav,YS Chahal,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,6.1,SA Yadav,CA Lynn,Shahbaz Ahmed,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,6.2,CA Lynn,SA Yadav,Shahbaz Ahmed,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,6.3,SA Yadav,CA Lynn,Shahbaz Ahmed,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,6.4,SA Yadav,CA Lynn,Shahbaz Ahmed,0,6,6,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,6.5,SA Yadav,CA Lynn,Shahbaz Ahmed,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,6.6,CA Lynn,SA Yadav,Shahbaz Ahmed,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,7.1,CA Lynn,SA Yadav,HV Patel,1,1,2,noballs,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,7.2,SA Yadav,CA Lynn,HV Patel,0,6,6,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,7.3,SA Yadav,CA Lynn,HV Patel,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,7.4,CA Lynn,SA Yadav,HV Patel,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,7.5,CA Lynn,SA Yadav,HV Patel,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,7.6,CA Lynn,SA Yadav,HV Patel,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,7.7,SA Yadav,CA Lynn,HV Patel,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,8.1,SA Yadav,CA Lynn,DT Christian,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,8.2,CA Lynn,SA Yadav,DT Christian,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,8.3,CA Lynn,SA Yadav,DT Christian,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,8.4,SA Yadav,CA Lynn,DT Christian,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,8.5,SA Yadav,CA Lynn,DT Christian,1,0,1,wides,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,8.6,SA Yadav,CA Lynn,DT Christian,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,8.7,SA Yadav,CA Lynn,DT Christian,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,9.1,CA Lynn,SA Yadav,YS Chahal,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,9.2,CA Lynn,SA Yadav,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,9.3,SA Yadav,CA Lynn,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,9.4,CA Lynn,SA Yadav,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,9.5,SA Yadav,CA Lynn,YS Chahal,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,9.6,SA Yadav,CA Lynn,YS Chahal,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,10.1,CA Lynn,SA Yadav,KA Jamieson,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,10.2,SA Yadav,CA Lynn,KA Jamieson,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,10.3,CA Lynn,SA Yadav,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,10.4,CA Lynn,SA Yadav,KA Jamieson,0,6,6,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,10.5,CA Lynn,SA Yadav,KA Jamieson,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,10.6,CA Lynn,SA Yadav,KA Jamieson,0,0,0,,SA Yadav,caught,AB de Villiers,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,11.1,Ishan Kishan,CA Lynn,Mohammed Siraj,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,11.2,CA Lynn,Ishan Kishan,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,11.3,CA Lynn,Ishan Kishan,Mohammed Siraj,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,11.4,Ishan Kishan,CA Lynn,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,11.5,Ishan Kishan,CA Lynn,Mohammed Siraj,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,11.6,CA Lynn,Ishan Kishan,Mohammed Siraj,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,12.1,CA Lynn,Ishan Kishan,Washington Sundar,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,12.2,Ishan Kishan,CA Lynn,Washington Sundar,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,12.3,Ishan Kishan,CA Lynn,Washington Sundar,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,12.4,CA Lynn,Ishan Kishan,Washington Sundar,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,12.5,Ishan Kishan,CA Lynn,Washington Sundar,0,0,0,,CA Lynn,caught and bowled,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,12.6,HH Pandya,Ishan Kishan,Washington Sundar,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,13.1,Ishan Kishan,HH Pandya,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,13.2,HH Pandya,Ishan Kishan,YS Chahal,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,13.3,HH Pandya,Ishan Kishan,YS Chahal,0,6,6,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,13.4,HH Pandya,Ishan Kishan,YS Chahal,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,13.5,HH Pandya,Ishan Kishan,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,13.6,Ishan Kishan,HH Pandya,YS Chahal,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,14.1,Ishan Kishan,HH Pandya,DT Christian,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,14.2,Ishan Kishan,HH Pandya,DT Christian,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,14.3,Ishan Kishan,HH Pandya,DT Christian,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,14.4,Ishan Kishan,HH Pandya,DT Christian,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,14.5,HH Pandya,Ishan Kishan,DT Christian,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,14.6,HH Pandya,Ishan Kishan,DT Christian,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,15.1,HH Pandya,Ishan Kishan,HV Patel,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,15.2,HH Pandya,Ishan Kishan,HV Patel,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,15.3,Ishan Kishan,HH Pandya,HV Patel,0,2,2,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,15.4,Ishan Kishan,HH Pandya,HV Patel,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,15.5,Ishan Kishan,HH Pandya,HV Patel,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,15.6,Ishan Kishan,HH Pandya,HV Patel,0,0,0,,HH Pandya,lbw,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,16.1,KA Pollard,Ishan Kishan,Mohammed Siraj,1,0,1,wides,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,16.2,KA Pollard,Ishan Kishan,Mohammed Siraj,0,4,4,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,16.3,KA Pollard,Ishan Kishan,Mohammed Siraj,0,1,1,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
MI vs RCB 2021-04-09,1st innings,16.4,Ishan Kishan,KA Pollard,Mohammed Siraj,0,0,0,,,,,KN Ananthapadmanabhan,Nitin Menon,HV Patel,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",09-04-2021
